kernel,array_len,nb_bins,nb_repeat,rep,timing,check_status
histogram_cuda,4096,16384,10,1,2.765910e-04,1
histogram_cuda,4096,16384,10,2,3.215610e-04,1
histogram_cuda,4096,16384,10,3,2.490950e-04,1
histogram_cuda,4096,16384,10,4,2.348240e-04,1
histogram_cuda,4096,16384,10,5,2.296440e-04,1
histogram_cuda,4096,16384,10,6,2.232450e-04,1
histogram_cuda,4096,16384,10,7,1.663840e-04,1
histogram_cuda,4096,16384,10,8,1.538820e-04,1
histogram_cuda,4096,16384,10,9,1.489390e-04,1
histogram_cuda,4096,32768,10,0,7.038348e-02,1
histogram_cuda,4096,32768,10,1,2.238990e-04,1
histogram_cuda,4096,32768,10,2,2.777510e-04,1
histogram_cuda,4096,32768,10,3,2.393400e-04,1
histogram_cuda,4096,32768,10,4,2.144320e-04,1
histogram_cuda,4096,32768,10,5,2.258760e-04,1
histogram_cuda,4096,32768,10,6,2.763280e-04,1
histogram_cuda,4096,32768,10,7,2.050160e-04,1
histogram_cuda,4096,32768,10,8,2.002110e-04,1
histogram_cuda,4096,32768,10,9,2.665360e-04,1
histogram_cuda,4096,65536,10,0,6.762815e-02,1
histogram_cuda,4096,65536,10,1,3.183310e-04,1
histogram_cuda,4096,65536,10,2,3.102870e-04,1
histogram_cuda,4096,65536,10,3,3.737560e-04,1
histogram_cuda,4096,65536,10,4,3.641640e-04,1
histogram_cuda,4096,65536,10,5,3.878690e-04,1
histogram_cuda,4096,65536,10,6,3.754390e-04,1
histogram_cuda,4096,65536,10,7,3.862680e-04,1
histogram_cuda,4096,65536,10,8,3.174010e-04,1
histogram_cuda,4096,65536,10,9,3.143800e-04,1
histogram_cuda,4096,131072,10,0,8.402929e-02,1
histogram_cuda,4096,131072,10,1,5.486430e-04,1
histogram_cuda,4096,131072,10,2,5.885600e-04,1
histogram_cuda,4096,131072,10,3,5.338220e-04,1
histogram_cuda,4096,131072,10,4,5.749240e-04,1
histogram_cuda,4096,131072,10,5,5.413470e-04,1
histogram_cuda,4096,131072,10,6,5.746580e-04,1
histogram_cuda,4096,131072,10,7,5.160400e-04,1
histogram_cuda,4096,131072,10,8,5.740070e-04,1
histogram_cuda,4096,131072,10,9,5.567080e-04,1
histogram_cuda,8192,4096,10,0,7.740033e-02,0
histogram_cuda,8192,4096,10,1,1.271660e-04,0
histogram_cuda,8192,4096,10,2,1.145060e-04,0
histogram_cuda,8192,4096,10,3,1.150110e-04,0
histogram_cuda,8192,4096,10,4,1.128160e-04,0
histogram_cuda,8192,4096,10,5,1.116660e-04,0
histogram_cuda,8192,4096,10,6,1.113050e-04,0
histogram_cuda,8192,4096,10,7,1.119870e-04,0
histogram_cuda,8192,4096,10,8,1.109540e-04,0
histogram_cuda,8192,4096,10,9,1.108850e-04,0
histogram_cuda,8192,8192,10,0,6.881236e-02,0
histogram_cuda,8192,8192,10,1,2.830010e-04,0
histogram_cuda,8192,8192,10,2,1.470740e-04,0
histogram_cuda,8192,8192,10,3,1.793310e-04,0
histogram_cuda,8192,8192,10,4,1.431220e-04,0
histogram_cuda,8192,8192,10,5,1.382330e-04,0
histogram_cuda,8192,8192,10,6,1.370920e-04,0
histogram_cuda,8192,8192,10,7,1.355130e-04,0
histogram_cuda,8192,8192,10,8,1.789950e-04,0
histogram_cuda,8192,8192,10,9,1.417890e-04,0
histogram_cuda,8192,16384,10,0,6.738823e-02,1
histogram_cuda,8192,16384,10,1,1.737330e-04,1
histogram_cuda,8192,16384,10,2,2.820060e-04,1
histogram_cuda,8192,16384,10,3,2.313620e-04,1
histogram_cuda,8192,16384,10,4,1.813900e-04,1
histogram_cuda,8192,16384,10,5,1.637230e-04,1
histogram_cuda,8192,16384,10,6,1.707020e-04,1
histogram_cuda,8192,16384,10,7,1.655300e-04,1
histogram_cuda,8192,16384,10,8,1.608840e-04,1
histogram_cuda,8192,16384,10,9,2.858480e-04,1
histogram_cuda,8192,32768,10,0,6.895402e-02,1
histogram_cuda,8192,32768,10,1,2.552330e-04,1
histogram_cuda,8192,32768,10,2,2.270250e-04,1
histogram_cuda,8192,32768,10,3,3.038790e-04,1
histogram_cuda,8192,32768,10,4,3.142100e-04,1
histogram_cuda,8192,32768,10,5,2.180700e-04,1
histogram_cuda,8192,32768,10,6,2.621510e-04,1
histogram_cuda,8192,32768,10,7,3.010160e-04,1
histogram_cuda,8192,32768,10,8,2.337250e-04,1
histogram_cuda,8192,32768,10,9,2.830480e-04,1
histogram_cuda,8192,65536,10,0,7.889336e-02,1
histogram_cuda,8192,65536,10,1,3.961650e-04,1
histogram_cuda,8192,65536,10,2,3.811200e-04,1
histogram_cuda,8192,65536,10,3,3.159710e-04,1
histogram_cuda,8192,65536,10,4,3.964750e-04,1
histogram_cuda,8192,65536,10,5,3.834930e-04,1
histogram_cuda,8192,65536,10,6,3.828190e-04,1
histogram_cuda,8192,65536,10,7,3.425450e-04,1
histogram_cuda,8192,65536,10,8,4.012140e-04,1
histogram_cuda,8192,65536,10,9,3.753850e-04,1
histogram_cuda,8192,131072,10,0,7.573770e-02,1
histogram_cuda,8192,131072,10,1,5.952490e-04,1
histogram_cuda,8192,131072,10,2,5.751720e-04,1
histogram_cuda,8192,131072,10,3,5.776260e-04,1
histogram_cuda,8192,131072,10,4,5.734490e-04,1
histogram_cuda,8192,131072,10,5,5.856430e-04,1
histogram_cuda,8192,131072,10,6,5.846210e-04,1
histogram_cuda,8192,131072,10,7,5.811320e-04,1
histogram_cuda,8192,131072,10,8,5.789590e-04,1
histogram_cuda,8192,131072,10,9,5.786880e-04,1
histogram_cuda,16384,4096,10,0,6.770986e-02,0
histogram_cuda,16384,4096,10,1,1.270100e-04,0
histogram_cuda,16384,4096,10,2,1.179010e-04,0
histogram_cuda,16384,4096,10,3,1.255790e-04,0
histogram_cuda,16384,4096,10,4,1.136710e-04,0
histogram_cuda,16384,4096,10,5,1.124740e-04,0
histogram_cuda,16384,4096,10,6,1.140430e-04,0
histogram_cuda,16384,4096,10,7,1.144670e-04,0
histogram_cuda,16384,4096,10,8,2.688580e-04,0
histogram_cuda,16384,4096,10,9,1.922980e-04,0
histogram_cuda,16384,8192,10,0,7.260802e-02,0
histogram_cuda,16384,8192,10,1,1.517780e-04,0
histogram_cuda,16384,8192,10,2,1.351760e-04,0
histogram_cuda,16384,8192,10,3,1.372370e-04,0
histogram_cuda,16384,8192,10,4,1.348410e-04,0
histogram_cuda,16384,8192,10,5,1.359860e-04,0
histogram_cuda,16384,8192,10,6,2.733580e-04,0
histogram_cuda,16384,8192,10,7,1.529320e-04,0
histogram_cuda,16384,8192,10,8,1.347480e-04,0
histogram_cuda,16384,8192,10,9,1.359460e-04,0
histogram_cuda,16384,16384,10,0,6.846537e-02,1
histogram_cuda,16384,16384,10,1,2.011780e-04,1
histogram_cuda,16384,16384,10,2,2.950450e-04,1
histogram_cuda,16384,16384,10,3,2.149150e-04,1
histogram_cuda,16384,16384,10,4,1.631450e-04,1
histogram_cuda,16384,16384,10,5,2.695620e-04,1
histogram_cuda,16384,16384,10,6,1.735520e-04,1
histogram_cuda,16384,16384,10,7,1.711240e-04,1
histogram_cuda,16384,16384,10,8,1.632200e-04,1
histogram_cuda,16384,16384,10,9,3.012130e-04,1
histogram_cuda,16384,32768,10,0,7.640835e-02,1
histogram_cuda,16384,32768,10,1,3.115720e-04,1
histogram_cuda,16384,32768,10,2,2.833070e-04,1
histogram_cuda,16384,32768,10,3,3.051780e-04,1
